Pays;Access_to_improved_sanitation_2015;Access_to_improved_water_2015;Population_undernourished_2015;Dependency_ratio_2018;Extremepoverty_2011
Afghanistan;31;9;55;3;26;8;82;6741025;56;7
Albania;93;2;95;1;5;44;30454434;0;46
Algeria;87;6;83;6;5;56;04993325;6;8
Angola;51;6;49;14;2;96;39568125;43;37
Argentina;96;4;99;1;5;56;31475832;1;41
Armenia;89;5;100;5;8;46;00664895;2;45
Australia;100;100;5;53;57420055;0
Austria;100;100;5;50;336118;0
Azerbaijan;89;3;87;5;41;91820664;0;43
Bahamas;92;98;4;5;42;54875578;0
Bahrain;99;2;100;5;27;55352661;0
Bangladesh;60;6;86;9;16;4;49;16053494;43;25
Barbados;96.2;99.7;5;52.22408684;0
Belarus;94.3;99.7;5;47.15361236;0.07
Belgium;99.5;100;5;56.09389849;0
Belize;90.5;99.5;6.2;53.38095391;12.2
Benin;19.7;77.9;7.5;84.16658275;51.61
Bhutan;50.4;100;14.5;45.35361826;2.38
Bolivia;50.3;90;15.9;61.54578299;7.98
Bosnia and Herzegovina;94.8;99.9;5;45.27799425;0.04
Botswana;63.4;96.2;24.1;54.40414224;31.2
Brazil;82.8;98.1;5;43.33974709;3.75
Brunei Darussalam;90;72;5;37.99335386;0
Bulgaria;86;99.4;5;54.95005419;1.9
Burkina Faso;19.7;82.3;20.7;89.9511349;44.6
Burundi;48;75.9;67.6;91.17468293;81.3
Cambodia;42.4;75.5;14.2;55.72147952;10.05
Cameroon;45.8;75.6;9.9;84.0505454;9.6
Canada;99.8;99.8;5;50.37262196;0
Cape Verde;72.2;91.7;9.4;52.22741996;21
Central African Republic;21.8;68.5;47.7;86.86085117;62.83
Chad;12.1;50.8;34.4;97.48971705;36.52
Chile;99.1;99;5;46.10114022;0.83
China;76.5;95.5;9.3;40.47489473;6.26
Colombia;81.1;91.4;8.8;45.01784073;5.63
Comoros;35.8;90.1;65.9;74.05566372;46.11
Congo;15;76.5;30.5;83.60779824;32.82
Costa Rica;94.5;97.8;5;45.24653708;1.35
Cote d'Ivoire;22.5;81.9;13.3;82.58553871;23.75
Croatia;97;99.6;5;53.54362254;0.06
Cuba;93.2;94.9;5;45.14529587;0
Cyprus;100;100;5;43.88022251;0
Czech Republic;99.1;100;5;53.86862694;0.03
Denmark;99.6;100;5;56.95846187;0
Djibouti;47.4;90;15.9;53.50546358;18.84
Dominican Republic;84;84.7;12.3;56.53169044;2.25
Ecuador;84.7;86.9;10.9;55.05804118;3.95
Egypt;94.7;99.4;5;62.70073454;1.69
El Salvador;75;93.8;12.4;55.07017078;2.53
Equatorial Guinea;74.5;47.9;5;66.27022688;22.83
Eritrea;15.7;57.8;63.6;83.18345293;31.3
Estonia;97.2;99.6;5;56.99522079;0.98
Ethiopia;28;57.3;32;77.12818568;30.65
Fiji;91.1;95.7;5;53.26671698;5
Finland;97.6;100;5;61.50443592;0
France;98.7;100;5;61.41260709;0
Gabon;41.9;93.2;5;67.55453513;4.84
Gambia;58.9;90.2;5.3;90.2244047;33.63
Georgia;86.3;100;7.4;52.50569597;14.14
Germany;99.2;100;5;53.2381107;0
Ghana;14.9;88.7;5;71.58089958;28.59
Greece;99;100;5;53.14209394;0
Grenada;98;96.6;18.7;50.93100413;3.5
Guatemala;63.9;92.8;15.6;64.58960921;13.7
Guinea;20.1;76.8;16.4;82.51918542;40.87
Guinea-Bissau;20.8;79.3;20.7;79.87662153;48.9
Guyana;83.7;98.3;10.6;51.60970141;8.7
Haiti;27.6;57.7;53.4;60.04841521;61.7
Honduras;82.6;91.2;12.2;55.77944054;16.48
Hungary;98;100;5;50.27080567;0.05
Iceland;98.8;100;5;53.45560918;0
India;39.6;94.1;15.2;50.53735091;23.62946379
Indonesia;60.8;87.4;7.6;48.0658528;16.2
Iran (Islamic Republic of);90;96.2;5;41.54667755;0
