Kabul;69.17;34.53
Yerevan;44.51;40.18
Baku;49.89;40.38
Manama;50.58;26.22
Dhaka;90.41;23.71
Thimphu;89.64;27.47
Diego Garcia;7.24;72.46
Bandar Seri Begawan;114.95;4.94
Phnom Penh;104.92;11.56
Beijing;116.4;39.91
The Settlement;105.68;-10.42
West Island;96.82;-12.16
Tbilisi;44.83;41.69
Hong Kong;114.16;22.29
New Delhi;77.22;28.64
Jakarta;106.85;-6.21
Tehran;51.42;35.69
Baghdad;44.4;33.34
Jerusalem;31.77;35.23
Edo;139.69;35.69
Amman;35.95;31.96
Astana;71.45;51.18
Kuwait City;47.98;29.37
Bishkek;74.59;42.87
Vientiane;102.6;17.97
Beirut;35.49;33.89
Macao;113.55;22.2
Kuala Lumpur;101.69;3.14
Malé;73.51;4.17
Ulan Bator;106.88;47.91
Nay Pyi Taw;96.13;19.75
Kathmandu;85.32;27.7
Pyongyang;125.75;39.03
Muscat;58.59;23.61
Islamabad;73.04;33.72
East Jerusalem;31.77;35.23
Manila;120.98;14.6
Doha;51.52;25.28
Riyadh;46.72;24.69
Singapore;103.85;1.29
Seoul;126.98;37.57
Colombo;79.85;6.93
Damascus;36.29;33.51
Taipei;121.53;25.05
Dushanbe;68.78;38.54
Bangkok;100.5;13.75
Ankara;32.85;39.92
Ashkhabad;58.38;37.95
Abu Dhabi;54.37;24.47
Tashkent;69.22;41.26
Hanoi;105.84;21.02
Sanaa;44.21;15.35
