The Valley;-63.06;18.22
St. John's;-61.85;17.12
Oranjestad;-70.03;12.52
Nassau;-77.34;25.06
Bridgetown;-59.62;13.1
Belmopan;-88.77;17.25
Hamilton;-64.78;32.29
Road Town;-64.62;18.42
Ottawa;-75.7;45.41
George Town;-81.37;19.29
San José;-84.08;9.93
Havana;-82.38;23.13
Roseau;-61.39;15.3
Santo Domingo;-69.99;18.5
San Salvador;-89.19;13.69
Nuuk (Godthåb);-51.72;64.18
St. George's;-61.75;12.06
Basse-Terre;-61.73;16
New Guatemala;-90.51;14.64
Port-au-Prince;-72.34;18.54
Tegucigalpa;-87.21;14.08
Kingston;-76.79;18
Fort-de-France;-61.07;14.61
Mexico City;-99.13;19.43
Plymouth;-62.21;16.71
Willemstad;12.1;-68.92
Managua;-86.25;12.13
Panama City;-79.52;8.99
San Juan;-66.11;18.47
Gustavia;-62.85;17.9
Basseterre;-62.73;17.29
Castries;-61.01;14
Marigot;-63.08;18.07
Saint-Pierre;-56.17;46.78
Kingstown;-61.22;13.16
Port of Spain;-61.52;10.67
Cockburn Town;-71.14;21.46
Charlotte Amalie;-64.93;18.34
Washington;-77.04;38.9
