Pago Pago;-170.7;-14.28
Canberra;149.13;-35.28
Avarua;-159.78;-21.21
Dili;125.57;-8.56
Suva;178.44;-18.14
Papeete;-149.57;-17.53
Hagåtña;144.75;13.48
South Tarawa;172.98;1.33
Majuro;171.38;7.09
Palikir;158.16;6.92
Yaren;-0.54;166.93
Noumea;166.46;-22.28
Wellington;174.78;-41.29
Alofi;-169.92;-19.06
Kingston;167.97;-29.05
Saipan;145.75;15.21
Melekeok;134.62;7.5
Port Moresby;147.18;-9.44
Adamstown;-130.1;-25.07
Apia;-171.77;-13.83
Honiara;159.95;-9.43
Nukunonu;-9.2;-171.85
Nuku'alofa;-175.2;-21.13
Funafuti;179.19;-8.52
Port Vila;168.32;-17.73
Mata-Utu;-176.17;-13.28
